# Portcard             Module                     AOH channel
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD11_PNL2_RNG1  A      13
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD11_PNL2_RNG1  B      13
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD10_PNL2_RNG1  A      11
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD10_PNL2_RNG1  B      11
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD9_PNL2_RNG1   A       9
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD9_PNL2_RNG1   B       9
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD11_PNL1_RNG1  A       6
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD11_PNL1_RNG1  B       6
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD10_PNL1_RNG1  A       4
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD10_PNL1_RNG1  B       4
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD9_PNL1_RNG1   A       2
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD9_PNL1_RNG1   B       2
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD17_PNL2_RNG2  A      14
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD17_PNL2_RNG2  B      14
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD16_PNL2_RNG2  A      12
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD16_PNL2_RNG2  B      12
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD15_PNL2_RNG2  A      10
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD15_PNL2_RNG2  B      10
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD14_PNL2_RNG2  A       8
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD14_PNL2_RNG2  B       8
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD17_PNL1_RNG2  A       7
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD17_PNL1_RNG2  B       7
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD16_PNL1_RNG2  A       5
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD16_PNL1_RNG2  B       5
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD15_PNL1_RNG2  A       3
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD15_PNL1_RNG2  B       3
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD14_PNL1_RNG2  A       1
FPix_BpI_D1_PRT1       FPix_BpI_D1_BLD14_PNL1_RNG2  B       1
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD8_PNL2_RNG1   A      13
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD8_PNL2_RNG1   B      13
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD7_PNL2_RNG1   A       9
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD7_PNL2_RNG1   B       9
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD8_PNL1_RNG1   A       6
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD8_PNL1_RNG1   B       6
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD7_PNL1_RNG1   A       2
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD7_PNL1_RNG1   B       2
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD13_PNL2_RNG2  A      14
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD13_PNL2_RNG2  B      14
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD12_PNL2_RNG2  A      12
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD12_PNL2_RNG2  B      12
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD11_PNL2_RNG2  A      11
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD11_PNL2_RNG2  B      11
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD10_PNL2_RNG2  A      10
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD10_PNL2_RNG2  B      10
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD9_PNL2_RNG2   A       8
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD9_PNL2_RNG2   B       8
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD13_PNL1_RNG2  A       7
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD13_PNL1_RNG2  B       7
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD12_PNL1_RNG2  A       5
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD12_PNL1_RNG2  B       5
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD11_PNL1_RNG2  A       4
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD11_PNL1_RNG2  B       4
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD10_PNL1_RNG2  A       3
FPix_BpI_D1_PRT2       FPix_BpI_D1_BLD10_PNL1_RNG2  B       3
