Official name of position,internal disk name,internal naming per Disk,Module,flex cable,HubID,PC position phi,PC position Mirror,PC port,PC identifier,PC name,DCDC,DCDC J11/J12,DCDC channel,DCDC name,Filterboard DCS,Filterboard module power,POH board,POH Bundle,POH SN,DOH bundle,DOH QR,DOH A/B,CCU,channel,PP0 Adapter/FED,PP0 Ad.Slot/FED,PP0 Adapter/FEC,PP0 Ad.Slot/FEC,internal POH no,POH fiber color,FED channel,FED position,FED receiver,FED ID,FEC/FED crate,FEC ID,FEC position,mfec,mfecchannel,HV group
FPix_BpI_D2_BLD13_PNL2_RNG2,,5T,M-P-4-43,6156,11,2Tb,2TC,7,PR110,,PB-15,J12,3,,,CI-A 058,P75,19,SN112498/0003,14,30201210004608,B,0x7c,0x11,+z down right 3,4,+z down right 2,3,4,black-8,15/16,6,t,1285,top,,10,2,2,2b4
FPix_BpI_D2_BLD12_PNL2_RNG2,,6T,M-N-2-40,6219,10,2Tb,2TC,5,PR110,,PB-15,J12,3,,,CI-A 058,P75,18,SN112498/0037,14,30201210004608,B,0x7c,0x11,+z down right 4,1,+z down right 2,3,5,black-8,39/40,5,b,1284,top,,10,2,2,2b4
FPix_BpI_D2_BLD11_PNL2_RNG2,,7T,M-G-2-34,6243,9,2Tb,2TC,4,PR110,,PB-15,J12,4,,,CI-A 058,P75,17,SN112498/0005,14,30201210004608,B,0x7c,0x11,+z down right 4,2,+z down right 2,3,6,white-6,11/12,5,t,1284,top,,10,2,2,2b4
FPix_BpI_D2_BLD10_PNL2_RNG2,,8T,M-P-3-16,6223,8,2Tb,2TC,3,PR110,,PB-15,J12,3,,,CI-A 058,P75,17,SN112498/0005,14,30201210004608,B,0x7c,0x11,+z down right 4,2,+z down right 2,3,6,black-8,15/16,5,t,1284,top,,10,2,2,2b4
FPix_BpI_D2_BLD9_PNL2_RNG2,,9T,M-P-1-21,6215,7,2Tb,2TC,1,PR110,,PB-15,J12,3,,,CI-A 058,P75,16,SN112498/0006,14,30201210004608,B,0x7c,0x11,+z down right 4,3,+z down right 2,3,7,black-8,39/40,4,b,1283,top,,10,2,2,2b4
FPix_BpI_D2_BLD8_PNL2_RNG2,,10T,M-P-1-49,6214,9,2Tc,2TB,7,PR102,,PB-46,J12,3,,,CI-A 060,FP29,11,SN112498/0010,8,30201210004614,A,0x7e,0x11,+z up right 4,3,+z up right 2,3,8,white-6,11/12,4,t,1283,top,,9,2,1,2c4
FPix_BpI_D2_BLD7_PNL2_RNG2,,11T,M-P-3-47,6165,8,2Tc,2TB,5,PR102,,PB-46,J12,3,,,CI-A 060,FP29,10,SN112498/0009,8,30201210004614,A,0x7e,0x11,+z up right 4,2,+z up right 2,3,9,white-6,35/36,3,b,1282,top,,9,2,1,2c4
FPix_BpI_D2_BLD6_PNL2_RNG2,,12T,M-P-1-08,6161,7,2Tc,2TB,3,PR102,,PB-46,J12,3,,,CI-A 060,FP29,5,SN112498/0008,8,30201210004614,A,0x7e,0x11,+z up right 4,1,+z up right 2,3,10,white-6,11/12,3,t,1282,top,,9,2,1,2c4
FPix_BpI_D2_BLD5_PNL2_RNG2,,13T,M-P-5-46,6158,6,2Tc,2TB,1,PR102,,PB-46,J12,3,,,CI-A 060,FP29,4,SN112498/0040,8,30201210004614,A,0x7e,0x11,+z up right 3,4,+z up right 2,3,11,white-6,35/36,2,b,1281,top,,9,2,1,2c4
FPix_BpI_D2_BLD4_PNL2_RNG2,,14T,M-P-6-40,6160,9,2Td,2TA,7,PR157,,PB-32,J12,3,,,CI-A 052,FP18,4,SN112498/0040,8,30201210004614,B,0x7d,0x11,+z up right 3,4,+z up right 2,3,11,black-8,39/40,2,b,1281,top,,9,2,2,2d4
