#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC12         B        9      1     2     15      3      12      1289       4     4
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC13         B        9      1     2     15      3      13      1289       4     5
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC14         B        9      1     2     15      3      14      1289       4     6
FPix_BpO_D1_BLD4_PNL2_RNG1_ROC15         B        9      1     2     15      3      15      1289       4     7
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC0         A        9      1     2     14      0      0      1290       3     0
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC1         A        9      1     2     14      0      1      1290       3     1
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC2         A        9      1     2     14      0      2      1290       3     2
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC3         A        9      1     2     14      0      3      1290       3     3
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC4         A        9      1     2     14      1      4      1290       3     4
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC5         A        9      1     2     14      1      5      1290       3     5
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC6         A        9      1     2     14      1      6      1290       3     6
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC7         A        9      1     2     14      1      7      1290       3     7
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC8         B        9      1     2     14      2      8      1290       4     0
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC9         B        9      1     2     14      2      9      1290       4     1
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC10         B        9      1     2     14      2      10      1290       4     2
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC11         B        9      1     2     14      2      11      1290       4     3
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC12         B        9      1     2     14      3      12      1290       4     4
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC13         B        9      1     2     14      3      13      1290       4     5
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC14         B        9      1     2     14      3      14      1290       4     6
FPix_BpO_D1_BLD5_PNL2_RNG1_ROC15         B        9      1     2     14      3      15      1290       4     7
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC0         A        10      1     1     15      0      0      1291       31     0
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC1         A        10      1     1     15      0      1      1291       31     1
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC2         A        10      1     1     15      0      2      1291       31     2
FPix_BpO_D1_BLD6_PNL2_RNG1_ROC3         A        10      1     1     15      0      3      1291       31     3
