#name                              A/B   FEC       mfec      mfecch    hubid     port      rocid     FEDid     FEDch     roc# 
FPix_BpI_D1_BLD8_PNL2_RNG1_ROC12         B        10      1     2     15      3      12      1284       28     4
FPix_BpI_D1_BLD8_PNL2_RNG1_ROC13         B        10      1     2     15      3      13      1284       28     5
FPix_BpI_D1_BLD8_PNL2_RNG1_ROC14         B        10      1     2     15      3      14      1284       28     6
FPix_BpI_D1_BLD8_PNL2_RNG1_ROC15         B        10      1     2     15      3      15      1284       28     7
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC0         A        10      1     2     14      0      0      1283       27     0
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC1         A        10      1     2     14      0      1      1283       27     1
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC2         A        10      1     2     14      0      2      1283       27     2
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC3         A        10      1     2     14      0      3      1283       27     3
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC4         A        10      1     2     14      1      4      1283       27     4
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC5         A        10      1     2     14      1      5      1283       27     5
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC6         A        10      1     2     14      1      6      1283       27     6
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC7         A        10      1     2     14      1      7      1283       27     7
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC8         B        10      1     2     14      2      8      1283       28     0
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC9         B        10      1     2     14      2      9      1283       28     1
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC10         B        10      1     2     14      2      10      1283       28     2
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC11         B        10      1     2     14      2      11      1283       28     3
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC12         B        10      1     2     14      3      12      1283       28     4
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC13         B        10      1     2     14      3      13      1283       28     5
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC14         B        10      1     2     14      3      14      1283       28     6
FPix_BpI_D1_BLD7_PNL2_RNG1_ROC15         B        10      1     2     14      3      15      1283       28     7
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC0         A        9      1     1     15      0      0      1283       7     0
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC1         A        9      1     1     15      0      1      1283       7     1
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC2         A        9      1     1     15      0      2      1283       7     2
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC3         A        9      1     1     15      0      3      1283       7     3
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC4         A        9      1     1     15      1      4      1283       7     4
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC5         A        9      1     1     15      1      5      1283       7     5
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC6         A        9      1     1     15      1      6      1283       7     6
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC7         A        9      1     1     15      1      7      1283       7     7
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC8         B        9      1     1     15      2      8      1283       8     0
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC9         B        9      1     1     15      2      9      1283       8     1
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC10         B        9      1     1     15      2      10      1283       8     2
FPix_BpI_D1_BLD6_PNL2_RNG1_ROC11         B        9      1     1     15      2      11      1283       8     3
